subject,side,fs,duration_s,mdf_start_hz,mdf_end_hz,mdf_slope_hz_per_min,forecast_match_pct,baseline_match_pct,beats_baseline,mdf_train_hz,mdf_pred_hz,mdf_actual_hz
1,R,1259,178.85464654487689,70.75000000000001,54.500000000000014,-8.6324891691029,89.30831364810392,88.43043930846957,True,92.00000000000001,82.50000000000001,79.25000000000001
2,R,1259,177.18983320095313,66.25000000000001,47.75000000000001,-10.338676459867312,88.94541979417477,87.25081568993558,True,85.75000000000001,70.50000000000001,69.75000000000001
3,R,1259,283.70452740270053,66.50000000000001,64.50000000000001,0.5692364041897136,91.16927493258233,94.36924200973267,False,90.25000000000001,97.75000000000003,92.25000000000001
4,R,1259,255.76012708498808,79.50000000000001,55.250000000000014,-6.0500562429696085,90.80237759042348,89.37995344950103,True,86.75000000000001,72.75000000000001,74.75000000000001
5,R,1259,191.1008737092931,103.75000000000003,82.75000000000001,-4.547953617743751,90.33494448522887,93.35388446217661,False,113.00000000000003,104.50000000000003,108.75000000000003
6,R,1259,24.525814138204925,108.75000000000003,106.00000000000003,-10.295454545454652,72.76672738694816,82.48280596619371,False,128.00000000000003,126.75000000000003,129.50000000000003
7,R,1259,324.88880063542496,87.75000000000001,96.50000000000003,0.13274240855762698,92.05490939006097,95.34396518415399,False,112.00000000000003,111.25000000000003,112.50000000000003
8,R,1259,348.6028594122319,105.25000000000003,88.75000000000001,-2.6177044560123433,91.49747263625613,95.24985294429928,False,116.25000000000003,104.75000000000003,111.75000000000003
9,R,1259,260.3145353455123,73.25000000000001,68.00000000000001,-0.8599340339892665,90.44791775431604,93.71223057001774,False,94.75000000000001,97.25000000000003,87.75000000000001
10,R,1259,257.0452740270056,73.00000000000001,50.500000000000014,-5.344444249156361,88.43019040927227,87.75044054126613,True,86.00000000000001,81.75000000000001,71.25000000000001
11,R,1259,491.02779984114375,84.25000000000001,78.25000000000001,-2.451262654424248,91.43773828721771,95.86015842053682,False,102.50000000000003,87.25000000000001,98.75000000000003
12,R,1259,343.5536139793487,55.500000000000014,60.000000000000014,-1.2901331818931132,91.98682535789494,94.63302583702182,False,90.75000000000001,88.50000000000001,89.25000000000001
13,R,1259,218.099285146942,73.25000000000001,56.250000000000014,-3.145845837263122,90.1353208606954,93.5878625266717,False,101.00000000000003,108.75000000000003,99.50000000000003
